_00_30,_01_00,_01_30,_02_00,_02_30,_03_00,_03_30,_04_00,_04_30,_05_00,_05_30,_06_00,_06_30,_07_00,_07_30,_08_00,_08_30,_09_00,_09_30,_10_00,_10_30,_11_00,_11_30,_12_00,_12_30,_13_00,_13_30,_14_00,_14_30,_15_00,_15_30,_16_00,_16_30,_17_00,_17_30,_18_00,_18_30,_19_00,_19_30,_20_00,_20_30,_21_00,_21_30,_22_00,_22_30,_23_00,_23_30,_24_00
0,0.09960938,0.1000977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.296875,0.40625,0.296875,0.296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504,0.057,0,0,0.067,0,0,0.047,0,0.094,0,0,0,0,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.203125,0.296875,0.3046875,0.1953125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.215,0.456,0.403,0.215,0.193,0.18,0.191,0.335,0.164,0.201,0.308,0.236,0.193,0.172,0.274,1.13,1.083,2.006,1.887,3.654,5.817,3.817,4.838,7.851,8.148,8.728,7.426,7.808,5.998,4.29,2.718,1.773,0.516,1.272,0.387,0.63,0.553,0.784,0.416,0.22,0.36,0.223,0.217,0.39,0.26,0.242,0.438,0.324
2.125,2.1875,2.09375,2.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0.006,0.006,0.006,0.018,0.006,0.006,0.006,0.019,0.006,0.005,0.006,0.006,0.019,0.006,0.005,0.341,0.071,0.006,0.006,0.017,0.005,0.006,0.126,0.059,0.006,0.012,0.011,0.005,0.006,0.018,0.006,0.005,0.006,0.018,0.006,0.006,0.016,0.006,0.006,0.012,0.01,0.006,0.006,0.015,0.009,0.006,0.006
0.112,0.113,0.112,0.139,0.119,0.112,0.113,0.13,0.128,0.114,0.113,0.125,0.133,0.133,0.226,0.163,0.113,0.281,0.313,0.353,0.375,0.367,0.429,0.505,0.416,0.306,0.314,0.425,0.47,0.435,0.522,0.488,0.414,0.527,0.133,0.12,0.115,0.185,0.224,0.224,0.223,0.235,0.247,0.227,0.229,0.227,0.259,0.136
0.028,0.057,0.022,0.019,0.028,0.05,0.018,0.022,0.028,0.051,0.013,0.028,0.048,0.02,0.021,0.028,0.045,0.016,0.028,0.547,0.739,0.649,0.68,0.656,0.65,0.755,0.669,0.777,0.655,0.673,0.653,0.386,0.237,0.195,0.028,0.027,0.019,0.044,0.028,0.029,0.043,0.021,0.027,0.028,0.055,0.021,0.028,0.028
0.1992188,0.1992188,0.1992188,0.203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,1.98,5.022,5.011,2.885,0.002,0.002,0.001,0.002,0.001,0.002,0.002,0,0,0,0,0,0
0,0,0,0,0,0,7.453,7.446,7.469,7.444,5.662,4.758,4.733,4.729,4.676,4.762,4.672,0.003,0,0,0,0,0,6.221,6.271,7.333,6.461,0.003,0,0,0,0,0,0,0,0,0,0,0,7.49,7.541,7.374,0.004,0,0,0,0,0
0.373,0.372,0.372,0.373,0.376,0.378,0.378,0.383,0.371,0.372,0.372,0.372,0.374,0.373,0.374,0.024,0.024,0.026,0.026,0.025,0.024,0.023,0.024,0.024,0.024,0.024,0.024,0.025,0.024,0.024,0.024,0.025,0.024,0.024,0.254,0.362,0.368,0.372,0.378,0.376,0.377,0.375,0.376,0.373,0.373,0.379,0.374,0.371
0.087,0.103,0.077,0.087,0.078,0.087,0.08,0.083,0.072,0.078,0.076,0.09,0.102,0.102,0.072,0.092,0.073,0.094,0.094,0.085,0.094,0.094,0.707,2.422,2.355,2.196,1.851,0.648,0.082,0.096,0.094,0.077,0.086,0.088,0.068,0.086,0.1,0.1,0.086,0.078,0.093,0.072,0.091,0.074,0.089,0.076,0.08,0.083
0,0,0,0,0,0,0,0,0,0,0,0,0.294,0.931,0.008,0.01,0.088,0.008,0.536,0.49,0.062,0.482,0.577,0.577,0.87,0.865,0.066,0.078,0.247,0.317,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.115,0.099,0.251,0.197,0.114,0.101,0.099,0.099,0.115,0.1,0.099,0.133,0.213,0.098,0.342,1.18,1.773,2.501,2.159,1.882,1.903,2.079,2.042,2.552,3.104,2.215,2.674,2.899,2.892,2.404,1.606,2.647,1.758,1.272,1.837,1.668,1.365,0.296,0.207,0.104,0.099,0.527,1.268,0.188,0.1,0.1,0.116,0.102
1.346,1.23,1.494,1.306,1.242,1.483,1.389,1.253,1.305,1.358,1.419,1.278,1.294,1.481,5.511,4.402,3.68,4.478,4.734,4.668,5.128,5.328,4.911,5.243,4.861,5.106,4.439,4.714,4.983,3.522,2.579,3.575,3.892,3.017,2.209,1.826,2.015,1.542,1.253,1.608,1.248,1.386,1.25,1.302,1.346,1.331,1.243,1.407
0.777,0.736,0.784,0.759,0.799,0.744,0.721,1.037,1.231,1.177,1.229,1.173,1.191,1.993,2.568,2.405,4.012,5.063,8.397,7.467,6.579,6.845,7.1,8.125,6.99,6.732,7.608,4.224,4.26,4.466,4.7,5.01,4.85,5.294,5.012,4.148,3.128,2.581,1.191,1.146,1.108,1.096,1.122,1.095,1.088,1.119,1.137,1.121
0.359,0.379,0.368,0.349,0.349,0.348,0.349,0.349,0.355,0.359,0.388,0.383,0.38,0.359,0.358,0.284,0.341,0.654,0.888,1.341,1.151,0.936,0.859,0.862,0.831,0.844,0.823,1.09,0.96,1.116,0.686,0.535,0.445,0.464,0.577,0.584,0.609,0.514,0.984,0.409,0.336,0.335,0.302,0.292,0.288,0.288,0.309,0.36
0.6015625,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,2.18,2.2,2.18,2.17,2.22,2.24,2.24,2.31,2.2,2.22,2.26,2.19,2.2,3.69,5.66,5.1,4.84,5.11,4.55,3.26,4.01,3.98,4.65,4.72,4.12,3.19,3.68,4.08,2.52,4.7,5.78,5.86,6.43,6.4,3.36,2.23,2.23,2.2,2.96,2.21,2.14,2.16,2.19,2.24,2.23,2.24,2.22
0.27,0.244,0.274,1.148,1.073,1.252,1.219,1.253,1.228,1.216,0.272,0.294,1.208,0.8,0.293,1.294,1.862,1.792,1.709,1.876,1.523,1.878,1.771,1.493,1.618,1.643,1.528,1.234,1.5,1.685,1.614,1.613,0.611,0.254,0.29,0.285,0.262,0.287,0.263,0.287,0.263,0.302,0.289,0.294,0.248,0.288,0.29,0.279
0.333,0.342,0.328,0.4,0.331,0.409,0.34,0.334,0.398,0.327,0.422,0.328,0.389,0.56,0.49,0.431,3.492,8.795,8.555,8.266,8.552,8.296,8.426,7.967,6.644,5.606,5.825,5.225,5.107,5.301,5.2,5.515,5.408,4.738,2.966,0.364,0.47,0.368,0.348,0.344,0.493,0.357,0.355,0.348,0.348,0.35,0.528,0.348
0.085,0.078,0.286,0.179,0.08,0.109,0.077,0.086,0.109,0.163,0.09,0.243,0.225,0.227,0.273,0.226,0.24,3.497,2.543,1.953,1.256,1.825,1.674,1.904,1.446,1.605,1.903,1.686,1.239,1.954,1.182,0.714,0.709,0.682,0.797,1.809,2.427,2.233,2.107,2.047,0.981,0.385,0.142,0.188,0.147,0.196,0.125,0.146
0.54,0.521,0.524,0.569,0.502,0.499,0.536,0.519,0.579,0.488,0.51,0.523,0.633,0.492,1.929,5.768,6.39,6.799,6.677,7.615,8.431,7.514,7.005,8.911,8.388,8.283,7.658,5.031,4.989,5.443,5.469,4.044,2.167,1.635,2.167,1.495,0.69,0.523,0.609,0.491,0.478,0.474,0.77,0.506,0.504,0.494,0.466,0.491
0.4023438,0.3984375,0.3984375,0.4023438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.117,0.173,0.166,0.105,0.175,0.107,0.111,0.258,0.118,0.106,0.168,0.108,0.165,0.198,0.141,0.161,2.746,5.354,3.842,3.667,5.914,6.454,9.356,6.463,3.872,3.675,5.673,3.754,0.565,0.459,0.504,0.488,1.413,1.421,1.371,1.355,0.645,0.266,0.223,0.183,0.223,0.217,0.192,0.105,0.112,0.179,0.174,0.178
0.138,0.136,0.134,0.134,0.135,0.136,0.137,0.137,0.137,0.138,0.16,0.199,0.196,0.193,0.634,0.882,0.838,2.029,2.044,1.829,1.389,2.143,2.616,2.788,2.918,3.205,1.839,2.013,1.801,1.71,1.952,1.99,1.948,1.682,1.439,1.444,1.228,0.504,0.183,0.186,0.187,0.185,0.184,0.152,0.131,0.132,0.132,0.136
8.202,13.091,14.541,13.741,13.114,13.069,11.969,6.618,5.501,5.386,5.202,5.666,5.196,3.429,3.299,2.177,2.431,4.812,4.336,3.265,3.077,3.33,3.102,4.769,6.845,5.521,6.903,7.02,6.339,4.984,4.119,4.558,5.298,5.005,3.489,2.49,2.847,2.861,2.341,1.817,1.027,0.897,0.886,1.032,1.174,0.917,3.751,8.21
0.2011719,0.1992188,0.3007813,0.1992188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3007813,0.3007813,0.3007813,0.3984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.056,0.056,0.056,0.061,0.056,0.056,0.057,0.056,0.057,0.056,0.057,0.056,0.057,0.056,0.057,0.056,0.057,0.056,0.056,1.405,1.663,1.911,1.961,1.889,1.526,1.584,1.641,1.679,1.477,0.994,0.105,0.056,0.056,0.056,0.056,0.307,0.533,0.901,0.788,0.396,0.32,0.051,0.042,0.044,0.043,0.044,0.044,0.043
0.165,0.221,0.158,0.163,0.167,0.156,0.223,0.173,0.157,0.156,0.169,0.16,0.232,1.565,1.575,1.139,1.106,1.259,1.779,1.508,1.444,1.969,2.095,1.905,1.908,1.59,1.727,1.757,1.241,1.333,1.324,1.387,1.303,1.166,0.885,0.453,0.162,0.156,0.15,0.22,0.158,0.15,0.152,0.163,0.152,0.215,0.168,0.153
1.114,1.067,1.081,1.246,1.209,1.161,1.303,1.703,1.616,1.605,1.869,1.685,1.703,1.642,1.699,2.667,5.98,8.867,9.167,7.788,8.22,8.551,9.118,12.572,12.73,12.705,13.429,13.093,10.084,8.319,7.938,7.958,8.39,7.256,7.071,6.242,5.049,4.041,1.869,1.945,1.578,1.577,1.608,1.337,1.124,1.101,0.997,0.976
1.534,1.573,1.863,2.211,1.598,1.509,1.527,1.591,1.559,1.538,2.102,2.248,2.232,2.21,2.227,3.222,7.053,6.711,7.137,8.035,7.562,8.182,9.016,9.805,9.201,8.567,7.802,6.772,5.688,6.353,5.474,5.698,4.607,5.269,5.499,4.539,2.798,1.893,1.994,1.532,1.611,1.542,1.569,1.615,1.578,1.603,1.719,2.527
1.241,1.251,1.327,1.321,1.29,1.239,1.268,1.268,1.289,1.295,1.303,1.268,1.236,1.252,1.298,1.387,2.371,2.702,3.265,4.401,4.84,4.715,4.86,4.884,4.841,4.843,5.408,5.059,5.705,5.367,5.113,4.937,4.458,4.62,4.546,3.628,3.843,2.767,2.606,1.846,1.475,1.359,1.296,1.245,1.277,1.292,1.246,1.25
0.09960938,0.1005859,0.09960938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
